"","score","text","klasifikasi","x"
"1073",0," waktu itu aku jenis vaksin sinovac","Netral"," waktu itu aku jenis vaksin sinovac"
"1074",0,"adik ku pada ngatain aku lemah demam pasca vaksin sementara mereka vaksin tidak kenapa napa anj beda vaksin ya… ","Netral","adik ku pada ngatain aku lemah demam pasca vaksin sementara mereka vaksin tidak kenapa napa anj beda vaksin ya… "
"1075",0," aslinya dari… ","Netral"," aslinya dari… "
"1076",2,"validasi sinovac oleh who bukti vaksin aman teruji mutu vaksin pulihkan nusantara ","Positif","validasi sinovac oleh who bukti vaksin aman teruji mutu vaksin pulihkan nusantara "
"1077",1," waah mantaabb sudah nit alhamdulillah aku udah vaksin peama tanggal sept tapi sinovac dapet pfizer di terminal… ","Positif"," waah mantaabb sudah nit alhamdulillah aku udah vaksin peama tanggal sept tapi sinovac dapet pfizer di terminal… "
"1078",1,"pemerintah arab saudi akui penggunaan vaksin sinovac bagi jamaah umroh indonesia ","Positif","pemerintah arab saudi akui penggunaan vaksin sinovac bagi jamaah umroh indonesia "
"1079",3," akuu ada asma aku ambil sinovac jujur vaksin peama jam setelah vaksin dada rasanya kaya b… ","Positif"," akuu ada asma aku ambil sinovac jujur vaksin peama jam setelah vaksin dada rasanya kaya b… "
"1080",3," wah sayang sekali padahal saya mau koleksi data bukti kalau banyak atau… ","Positif"," wah sayang sekali padahal saya mau koleksi data bukti kalau banyak atau… "
"1082",2," sumpah waktu vaksin sd lebih sakit waktu vaksin sd setiap vaksin pasti demam pas vaksin kemarin dapat… ","Positif"," sumpah waktu vaksin sd lebih sakit waktu vaksin sd setiap vaksin pasti demam pas vaksin kemarin dapat… "
"1083",-1,"aku disini nyari vaksin yang astrazeneca zeneca kok susah banget seringnya nemu yang moderna sama sinovac","Negatif","aku disini nyari vaksin yang astrazeneca zeneca kok susah banget seringnya nemu yang moderna sama sinovac"
"1084",0," vaksin kok pakai sinovac kemarin","Netral"," vaksin kok pakai sinovac kemarin"
"1085",2,"jog ada informasi vaksin dosis yang bebas tidak domisili mana dan tidak masalahin vaksin dimana kalau ada yang sinovac","Positif","jog ada informasi vaksin dosis yang bebas tidak domisili mana dan tidak masalahin vaksin dimana kalau ada yang sinovac"
"1086",2," mamaku asma dan vaksin kak mending vaksin sinovac aja karena dia paling ringan tapi moderna… ","Positif"," mamaku asma dan vaksin kak mending vaksin sinovac aja karena dia paling ringan tapi moderna… "
"1087",3," tanggal nanti otw vaksin kedua dan alhamdulillah tidak kejadian apa apa ayo yang belum vaksin segera vak… ","Positif"," tanggal nanti otw vaksin kedua dan alhamdulillah tidak kejadian apa apa ayo yang belum vaksin segera vak… "
"1088",2," mjb setau ku kalaukita vaksin terus mau pergi ke ln dan vaksin dari indonesia tidak ada di list ne… ","Positif"," mjb setau ku kalaukita vaksin terus mau pergi ke ln dan vaksin dari indonesia tidak ada di list ne… "
"1090",0," saya pernah mengalami reaksi semasa pemantauan b… ","Netral"," saya pernah mengalami reaksi semasa pemantauan b… "
"1091",3,"vaksin pulihkan nusantara vaksin teruji khasiat meningkatkan imunitas","Positif","vaksin pulihkan nusantara vaksin teruji khasiat meningkatkan imunitas"
"1093",0," vaksin apa kamu sinovac","Netral"," vaksin apa kamu sinovac"
"1094",0,"minimal vaksin astrazeneca moderna kalauvaksinnya sinovac skip ","Netral","minimal vaksin astrazeneca moderna kalauvaksinnya sinovac skip "
"1095",0," adekku tim sinovac abis vaksin langsung nyuci piring jemur baju tidak berasa ","Netral"," adekku tim sinovac abis vaksin langsung nyuci piring jemur baju tidak berasa "
"1096",0," sinovac yah aku kira cmn kali vaksin","Netral"," sinovac yah aku kira cmn kali vaksin"
"1098",2,"hi untuk penerbangan medanbatam apa saja syaratnya saat ini sudah vaksin kali sinovac booster moderna terima kasih","Positif","hi untuk penerbangan medanbatam apa saja syaratnya saat ini sudah vaksin kali sinovac booster moderna terima kasih"
"1099",0,"cah informasi vaksin sinovac dosis buat hari minggu dong makasih","Netral","cah informasi vaksin sinovac dosis buat hari minggu dong makasih"
"1102",0," asl… ","Netral"," asl… "
"1103",0," kalauvaksin ke nyo pakai astrazeneca jaraknyo bulan kalausinovac jaraknyo bulan","Netral"," kalauvaksin ke nyo pakai astrazeneca jaraknyo bulan kalausinovac jaraknyo bulan"
"1104",0,"informasi vaksin sinovac dosis dongss","Netral","informasi vaksin sinovac dosis dongss"
"1105",0," informasi yang tau vaksin ke sinovac sekitar mustika jaya bantu repost min ","Netral"," informasi yang tau vaksin ke sinovac sekitar mustika jaya bantu repost min "
"1106",0,"informasi yang tau vaksin ke sinovac sekitar mustika jaya bantu repost min ","Netral","informasi yang tau vaksin ke sinovac sekitar mustika jaya bantu repost min "
"1107",2,"vaksin pulihkan nusantara validasi sinovac oleh who bukti vaksin aman teruji mutu ","Positif","vaksin pulihkan nusantara validasi sinovac oleh who bukti vaksin aman teruji mutu "
"1108",0,"nyesel vaksin astrazeneca tau gitu sinovac aja","Netral","nyesel vaksin astrazeneca tau gitu sinovac aja"
"1109",1,"jaminan kehalalan vaksin sinovac ","Positif","jaminan kehalalan vaksin sinovac "
"1110",-1,"sama macam abah kali ke ve no simptom from day till day si ayep hari peama je sakit badan xlarat dem… ","Negatif","sama macam abah kali ke ve no simptom from day till day si ayep hari peama je sakit badan xlarat dem… "
"1113",0," sekarang tidak ada efek nya sih kemarin pusing gara lapar aja kayanya aku vaksin sinovac ngomong-ngomong","Netral"," sekarang tidak ada efek nya sih kemarin pusing gara lapar aja kayanya aku vaksin sinovac ngomong-ngomong"
"1114",-1," problemnya ada di immigration policynya saudi kang utamanya untuk mereka yang di jab dengan sinovac h… ","Negatif"," problemnya ada di immigration policynya saudi kang utamanya untuk mereka yang di jab dengan sinovac h… "
"1115",0,"kodim sleman selesaikan vaksinasi dosis dua di lima sasaran sekaligus sleman komando distrik mili… ","Netral","kodim sleman selesaikan vaksinasi dosis dua di lima sasaran sekaligus sleman komando distrik mili… "
"1116",-2," vaksin varian apa itu aku sinovac biasa aja engga ngerasa apa","Negatif"," vaksin varian apa itu aku sinovac biasa aja engga ngerasa apa"
"1117",-1,"tiga aikel popular dalam hari ini ibu arwah abam meninggal dunia gadis… ","Negatif","tiga aikel popular dalam hari ini ibu arwah abam meninggal dunia gadis… "
"1119",0," sebelum sinovac vaksin pada masa itu namanya sinopec mav jangan digas masih newbie ","Netral"," sebelum sinovac vaksin pada masa itu namanya sinopec mav jangan digas masih newbie "
"1120",0," ltinfo vaksin dinkes kota tegalgt sinopharm dan moderna dosis jam sinovac dosis … ","Netral"," ltinfo vaksin dinkes kota tegalgt sinopharm dan moderna dosis jam sinovac dosis … "
"1121",0,"tf informasi vaksin sinovac untuk besok dan ktp non tegal dong gais kalaudinkes itu mulai jam berapa ya","Netral","tf informasi vaksin sinovac untuk besok dan ktp non tegal dong gais kalaudinkes itu mulai jam berapa ya"
"1122",3," vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat seluruh warga indonesia…","Positif"," vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat seluruh warga indonesia…"
"1123",-1," ikut deket rumah gapapa kok nder kalaukm sinovac biasanya hari sejak vaksin ke kalauvariannya sama gapapa kok","Negatif"," ikut deket rumah gapapa kok nder kalaukm sinovac biasanya hari sejak vaksin ke kalauvariannya sama gapapa kok"
"1124",-2,"sinovac untuk remaja tahun ke atas dibenarkan kp kesihatan ","Negatif","sinovac untuk remaja tahun ke atas dibenarkan kp kesihatan "
"1125",2,"kalau aku sih ya ribet amat aku vaksin aja sih selaen vaksin covid juga sudah dibombardis vaksin bcg kali dapat kali campak… ","Positif","kalau aku sih ya ribet amat aku vaksin aja sih selaen vaksin covid juga sudah dibombardis vaksin bcg kali dapat kali campak… "
"1127",1," kamu vaksin apa ve sinovac aman kan ya","Positif"," kamu vaksin apa ve sinovac aman kan ya"
"1129",0," alhamdulilah saya sudah vaksin sinovac kali","Netral"," alhamdulilah saya sudah vaksin sinovac kali"
"1131",-1,"dalam upaya pemerintah dalam menanggulangi pandemi covid dengan mendistribusikan vaksin sinovac di titik… ","Negatif","dalam upaya pemerintah dalam menanggulangi pandemi covid dengan mendistribusikan vaksin sinovac di titik… "
"1132",-1,"sing vaksin e sinovac ra usah sok keraskyo aku ngene loh astreav","Negatif","sing vaksin e sinovac ra usah sok keraskyo aku ngene loh astreav"
"1133",0," ada anak laki th ponpes sama ekselencia parung cuman hari sejak dinyatakan positif antigen… ","Netral"," ada anak laki th ponpes sama ekselencia parung cuman hari sejak dinyatakan positif antigen… "
"1134",-1,"hallo saya telah divaksin sampai dosis ke menggunakan sinovac apakah bisa di vaksin ulang mengguna… ","Negatif","hallo saya telah divaksin sampai dosis ke menggunakan sinovac apakah bisa di vaksin ulang mengguna… "
"1136",0,"rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"1137",1,"untumg tidak jadi vaksin infonya sinovac tidak ada di tempat maren badan lagi tidak fit juga","Positif","untumg tidak jadi vaksin infonya sinovac tidak ada di tempat maren badan lagi tidak fit juga"
"1138",0,"ayo besok vaksin di du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc… ","Netral","ayo besok vaksin di du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc… "
"1139",0," vaksin sinovac lulus untuk remaja berusia tahun ke atas via ","Netral"," vaksin sinovac lulus untuk remaja berusia tahun ke atas via "
"1140",0,"personil polsek cimanggis terus memberikan pelayanan kepada lansia untuk di suntikan vaksin sinovac ","Netral","personil polsek cimanggis terus memberikan pelayanan kepada lansia untuk di suntikan vaksin sinovac "
"1141",1,"keberhasilan vaksin sinovac","Positif","keberhasilan vaksin sinovac"
"1142",-1," am china akan sumbang satu juta lagi dosis vaksin sinovac kepada malaysia read more …","Negatif"," am china akan sumbang satu juta lagi dosis vaksin sinovac kepada malaysia read more …"
"1144",2," punya temen asma udah vaksin sinovac dari lama aman aja justru kalau asma lebih baik sgr vaksin karena temen… ","Positif"," punya temen asma udah vaksin sinovac dari lama aman aja justru kalau asma lebih baik sgr vaksin karena temen… "
"1145",3," ndes yang mau vaksin peama atau pun mau vaksin kedua bisa ya langsung datang ke auditorium unnes sekaran jenis vaksin …","Positif"," ndes yang mau vaksin peama atau pun mau vaksin kedua bisa ya langsung datang ke auditorium unnes sekaran jenis vaksin …"
"1146",0,"semasa kkm lulus vaksin sinovac kepada remaja tahun ke atas via ","Netral","semasa kkm lulus vaksin sinovac kepada remaja tahun ke atas via "
"1147",0," oktober kkm lulus bersyarat penggunaan vaksin coronavac keluaran sinovac terhadap remaja tahun dan ke atas… ","Netral"," oktober kkm lulus bersyarat penggunaan vaksin coronavac keluaran sinovac terhadap remaja tahun dan ke atas… "
"1149",3," pihak berkuasa kawalan dadah pbkd setuju beri kelulusan bersyarat bagi penggunaan vaksin coronavac keluaran sinovac l…","Positif"," pihak berkuasa kawalan dadah pbkd setuju beri kelulusan bersyarat bagi penggunaan vaksin coronavac keluaran sinovac l…"
"1150",0,"cah informasi vaksin d sinovac dong","Netral","cah informasi vaksin d sinovac dong"
"1151",0," efikasi vaksin sinovac di indonesia menurun dari persen menjadi persen perlu vaksin booster dengan jenis vaksin c…","Netral"," efikasi vaksin sinovac di indonesia menurun dari persen menjadi persen perlu vaksin booster dengan jenis vaksin c…"
"1152",1," informasi vaksin di banjarmasin dapat informasi dari puskesmas pekapuran raya banjarmasin besok yang mau vaksin sinovac bisa lan…","Positif"," informasi vaksin di banjarmasin dapat informasi dari puskesmas pekapuran raya banjarmasin besok yang mau vaksin sinovac bisa lan…"
"1153",2,"ndes yang mau vaksin peama atau pun mau vaksin kedua bisa ya langsung datang ke auditorium unnes sekaran jenis v… ","Positif","ndes yang mau vaksin peama atau pun mau vaksin kedua bisa ya langsung datang ke auditorium unnes sekaran jenis v… "
"1155",2," tidak perluuuu kalauvaksin yang penting bawa ktp yang vaksin yang penting jenis vaksinnya sinovac juga ada… ","Positif"," tidak perluuuu kalauvaksin yang penting bawa ktp yang vaksin yang penting jenis vaksinnya sinovac juga ada… "
"1156",0," pokoknya jarak antara vaksin dan kalau sinovac minggu astrazeneca bulan","Netral"," pokoknya jarak antara vaksin dan kalau sinovac minggu astrazeneca bulan"
"1157",-1,"feeling engkuk masuk kabupaten disikan iki ng malang ","Negatif","feeling engkuk masuk kabupaten disikan iki ng malang "
"1158",0,"vaksin semarang jenis sinovac ya ","Netral","vaksin semarang jenis sinovac ya "
"1159",1,"informasi vaksin di banjarmasin dapat informasi dari puskesmas pekapuran raya banjarmasin besok yang mau vaksin sinovac bi… ","Positif","informasi vaksin di banjarmasin dapat informasi dari puskesmas pekapuran raya banjarmasin besok yang mau vaksin sinovac bi… "
"1161",3,"australia memberi izin bagi vaksin sinovac dan covishield sebagai syarat masuk bagi pelaku perjalanan internasional… ","Positif","australia memberi izin bagi vaksin sinovac dan covishield sebagai syarat masuk bagi pelaku perjalanan internasional… "
"1162",0,"vaksin sinovac lulus untuk remaja berusia tahun ke atas via ","Netral","vaksin sinovac lulus untuk remaja berusia tahun ke atas via "
"1165",-2," juru bicara vaksinasi covid dari siti nadia tarmizi menanggapi soal isu penurunan efikasi vaksin sinovac bulan pasca di…","Negatif"," juru bicara vaksinasi covid dari siti nadia tarmizi menanggapi soal isu penurunan efikasi vaksin sinovac bulan pasca di…"
"1166",-2," remaja berusia tahun ke atas dibenarkan mengambil vaksin jenis sinovac selepas mendapat kelulusan kkm …","Negatif"," remaja berusia tahun ke atas dibenarkan mengambil vaksin jenis sinovac selepas mendapat kelulusan kkm …"
"1168",0,"ini lokasi vaksin covid sinovac gratis di solo ","Netral","ini lokasi vaksin covid sinovac gratis di solo "
"1169",-2,"juru bicara vaksinasi covid dari siti nadia tarmizi menanggapi soal isu penurunan efikasi vaksin sinovac bulan p… ","Negatif","juru bicara vaksinasi covid dari siti nadia tarmizi menanggapi soal isu penurunan efikasi vaksin sinovac bulan p… "
"1170",0,"kkm luluskan vaksin sinovac kepada remaja tahun ke atas ","Netral","kkm luluskan vaksin sinovac kepada remaja tahun ke atas "
"1171",1," penggunaan vaksin keluaran dalam kalangan berusia hingga tahun buat masa ini diutamakan kepada remaja…","Positif"," penggunaan vaksin keluaran dalam kalangan berusia hingga tahun buat masa ini diutamakan kepada remaja…"
"1173",1,"yogyakaa lapas narkotika kelas iia yogyakaa menggelar vaksinasi merdeka tahap ke kegiatan vaksinasi covid… ","Positif","yogyakaa lapas narkotika kelas iia yogyakaa menggelar vaksinasi merdeka tahap ke kegiatan vaksinasi covid… "
"1175",0,"kelulusan vaksin sinovac untuk golongan berumur tahun dan ke atas dibuat selepas mesyuarat pihak berkuasa kawala… ","Netral","kelulusan vaksin sinovac untuk golongan berumur tahun dan ke atas dibuat selepas mesyuarat pihak berkuasa kawala… "
"1178",0,"kerajaan luluskan vaksin sinovac buat remaja ","Netral","kerajaan luluskan vaksin sinovac buat remaja "
"1179",-2," sinovac dosis kedua pelajar smk dan dukuhturi kembali di suntik vaksin covid …","Negatif"," sinovac dosis kedua pelajar smk dan dukuhturi kembali di suntik vaksin covid …"
"1180",0,"kkm meluluskan penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china kepada golongan berusia terminal… ","Netral","kkm meluluskan penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china kepada golongan berusia terminal… "
"1181",0," untuk pendaftaran vaksin sinovac hari jumat oktober di klinik polresta bandung jlbhayangkara soreang silahka…","Netral"," untuk pendaftaran vaksin sinovac hari jumat oktober di klinik polresta bandung jlbhayangkara soreang silahka…"
"1182",0," copid tuh tidak ada ucap jrx sebelum vaksin sinovac","Netral"," copid tuh tidak ada ucap jrx sebelum vaksin sinovac"
"1183",0,"menurut kalian vaksin pfizer sama sinovac bagusan yang mana","Netral","menurut kalian vaksin pfizer sama sinovac bagusan yang mana"
"1184",1," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari sabtu oktober jam wita di…","Positif"," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari sabtu oktober jam wita di…"
"1187",0,"eitss vaksin sinovac langka ya sekarang","Netral","eitss vaksin sinovac langka ya sekarang"
"1188",-2,"remaja berusia tahun ke atas dibenarkan mengambil vaksin jenis sinovac selepas mendapat kelulusan kkm … ","Negatif","remaja berusia tahun ke atas dibenarkan mengambil vaksin jenis sinovac selepas mendapat kelulusan kkm … "
"1189",2," insya allah aman rey aku abis vaksin sinovac reakainya cuma ngantuk banget sama laperan banget ","Positif"," insya allah aman rey aku abis vaksin sinovac reakainya cuma ngantuk banget sama laperan banget "
"1190",-1," bagaimanapun pbkd menyarankan penggunaan sinovac dalam kalangan remaja berusia hingga tahun buat masa ini diutamakan…","Negatif"," bagaimanapun pbkd menyarankan penggunaan sinovac dalam kalangan remaja berusia hingga tahun buat masa ini diutamakan…"
"1191",-1,"bagaimanapun pbkd menyarankan penggunaan sinovac dalam kalangan remaja berusia hingga tahun buat masa ini di… ","Negatif","bagaimanapun pbkd menyarankan penggunaan sinovac dalam kalangan remaja berusia hingga tahun buat masa ini di… "
"1192",-1,"imunisasi covid penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga life… ","Negatif","imunisasi covid penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga life… "
"1193",1," walah sby padahal kota besar moga segera dapet deh yak aku kemarin pas vaksin terakhir pakai pfizer… ","Positif"," walah sby padahal kota besar moga segera dapet deh yak aku kemarin pas vaksin terakhir pakai pfizer… "
"1195",-1,"efikasi vaksin sinovac di indonesia menurun dari persen menjadi persen perlu vaksin booster dengan jenis v… ","Negatif","efikasi vaksin sinovac di indonesia menurun dari persen menjadi persen perlu vaksin booster dengan jenis v… "
"1197",0,"nanti jangan lupa ambil vaksin ya adikadik semua ","Netral","nanti jangan lupa ambil vaksin ya adikadik semua "
"1198",1,"mesyuarat pihak berkuasa kawalan dadah beri kelulusan bersyarat penggunaan vaksin keluaran sinovac kepada remaja be… ","Positif","mesyuarat pihak berkuasa kawalan dadah beri kelulusan bersyarat penggunaan vaksin keluaran sinovac kepada remaja be… "
"1199",0," ketua pengarah kesihatan tan sri dari noor hisham abdullah berkata perkara itu dipersetujui dalam mesyuarat pihak berkuasa k…","Netral"," ketua pengarah kesihatan tan sri dari noor hisham abdullah berkata perkara itu dipersetujui dalam mesyuarat pihak berkuasa k…"
"1200",4,"ayo buruan vaksin bagi yang belum yang sudah dosis saat ini lagi banyak pfizer dosis untuk vaksin masih ada… ","Positif","ayo buruan vaksin bagi yang belum yang sudah dosis saat ini lagi banyak pfizer dosis untuk vaksin masih ada… "
"1201",1," bagi yang belum vaksin dosis dosis khususnya yang sempat kelewat dosis untuk sinovac astrazeneca zeneca ti… ","Positif"," bagi yang belum vaksin dosis dosis khususnya yang sempat kelewat dosis untuk sinovac astrazeneca zeneca ti… "
"1202",0," kalauchip gini vaksin apa sih serius nanya mak kalausinovac kayaknya tidak deh","Netral"," kalauchip gini vaksin apa sih serius nanya mak kalausinovac kayaknya tidak deh"
"1203",-1,"informasi vaksin covid bogor sinovac dosis dan puskesmas nanggung minggu oktober ","Negatif","informasi vaksin covid bogor sinovac dosis dan puskesmas nanggung minggu oktober "
"1204",0,"ketua pengarah kesihatan tan sri dari noor hisham abdullah berkata perkara itu dipersetujui dalam mesyuarat pihak… ","Netral","ketua pengarah kesihatan tan sri dari noor hisham abdullah berkata perkara itu dipersetujui dalam mesyuarat pihak… "
"1205",0,"sik vaksin sinovac rasah di kancani","Netral","sik vaksin sinovac rasah di kancani"
"1206",-1,"kementerian kesihatan malaysia kkm meluluskan penggunaan coronavac keluaran sinovac life science… ","Negatif","kementerian kesihatan malaysia kkm meluluskan penggunaan coronavac keluaran sinovac life science… "
"1207",2,"seu budiw babinsa koramil kemiri dampingi penyuntikan vaksin sinovac bagi tenaga kesehatan ","Positif","seu budiw babinsa koramil kemiri dampingi penyuntikan vaksin sinovac bagi tenaga kesehatan "
"1208",-1,"vaksin dosis ke done dosis sinovac dosis covid alami dosis moderna iship im comingggg ","Negatif","vaksin dosis ke done dosis sinovac dosis covid alami dosis moderna iship im comingggg "
"1209",-1,"update vaksin covid bogor sinovac dosis dan puskesmas nanggung anak usia tahun ke atas boleh ikut ","Negatif","update vaksin covid bogor sinovac dosis dan puskesmas nanggung anak usia tahun ke atas boleh ikut "
"1211",1,"cuma teman teman aku ada tugas untuk wawancara jadi kriterianya itu yang belum pernah di vaksin satu sinovac… ","Positif","cuma teman teman aku ada tugas untuk wawancara jadi kriterianya itu yang belum pernah di vaksin satu sinovac… "
"1212",0,"penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga lifesciences sdn bhd ma… ","Netral","penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga lifesciences sdn bhd ma… "
"1213",1,"ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari sabtu tanggal oktober jam … ","Positif","ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari sabtu tanggal oktober jam … "
"1216",1," bgr vaksinasi grastis untuk warga bogor bisa daftar online atau datang langsung ke tempat bisa untuk dosis dan khu…","Positif"," bgr vaksinasi grastis untuk warga bogor bisa daftar online atau datang langsung ke tempat bisa untuk dosis dan khu…"
"1219",-1,"penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan kp kesihatan sumber ke… ","Negatif","penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan kp kesihatan sumber ke… "
"1222",2,"iya benar emang efek vaksin sinovac buat laper ","Positif","iya benar emang efek vaksin sinovac buat laper "
"1223",0,"kkm lulus penggunaan vaksin keluaran sinovac terhadap remaja berita harian ","Netral","kkm lulus penggunaan vaksin keluaran sinovac terhadap remaja berita harian "
"1224",0," mb docni baru rame d paksa vaksingmn ini mb doc bsok saya jdwal vaksi ini datanya sruh ngisi dari… ","Netral"," mb docni baru rame d paksa vaksingmn ini mb doc bsok saya jdwal vaksi ini datanya sruh ngisi dari… "
"1225",2," pfizer tetap menjadi vaksin utama dalam program pick remaja vaksin sinovac ini ditawarkan kepada re… ","Positif"," pfizer tetap menjadi vaksin utama dalam program pick remaja vaksin sinovac ini ditawarkan kepada re… "
"1226",0,"informasi vaksin sinovac dan pfizer bogor puskesmas ciseeng hari ini bisa untuk dosis dan dengan kuota ","Netral","informasi vaksin sinovac dan pfizer bogor puskesmas ciseeng hari ini bisa untuk dosis dan dengan kuota "
"1228",3,"kementerian kesihatan malaysia kkm telah bersetuju memberi kelulusan bersyarat bagi penggunaan vaksin coronavac k… ","Positif","kementerian kesihatan malaysia kkm telah bersetuju memberi kelulusan bersyarat bagi penggunaan vaksin coronavac k… "
"1229",1,"kkm bersetuju memberikan kelulusan bersyarat bagi penggunaan vaksin coronavac keluaran sinovac life sciences co lt… ","Positif","kkm bersetuju memberikan kelulusan bersyarat bagi penggunaan vaksin coronavac keluaran sinovac life sciences co lt… "
"1230",0,"ayo vaksin moderna dosis astrazeneca dosis sinovac dosis dan bersama biddokkes polda kepri di kepri… ","Netral","ayo vaksin moderna dosis astrazeneca dosis sinovac dosis dan bersama biddokkes polda kepri di kepri… "
"1231",0," kali mau doo aku nk tnya cgu apa mksud lancau aku curious lagi pon aku vaksin sinovac senng skit nk score nnti","Netral"," kali mau doo aku nk tnya cgu apa mksud lancau aku curious lagi pon aku vaksin sinovac senng skit nk score nnti"
"1232",0,"vaksin keluaran sinovac diluluskan kepada remaja ","Netral","vaksin keluaran sinovac diluluskan kepada remaja "
"1233",0,"kkm lulus vaksin sinovac untuk remaja ","Netral","kkm lulus vaksin sinovac untuk remaja "
"1234",-1," sama sinovac juga itu kamu udah langsung keluar belum seifikat vaksin nya","Negatif"," sama sinovac juga itu kamu udah langsung keluar belum seifikat vaksin nya"
"1235",1," terkini telah bersetuju memberikan kelulusan bersyarat bagi penggunaan vaksin keluaran sinovac life scie…","Positif"," terkini telah bersetuju memberikan kelulusan bersyarat bagi penggunaan vaksin keluaran sinovac life scie…"
"1236",-1,"mau vaksin moderna tapi takut sama after effectsnya atau sinovac aja kali ya","Negatif","mau vaksin moderna tapi takut sama after effectsnya atau sinovac aja kali ya"
"1237",1," lulus vaksin untuk remaja ","Positif"," lulus vaksin untuk remaja "
"1238",3,"hari tu janji semua budak sekolah nak bagi vaksin tapi dghisham cakap pun boleh untuk remaja ","Positif","hari tu janji semua budak sekolah nak bagi vaksin tapi dghisham cakap pun boleh untuk remaja "
"1239",1,"informasi jadwal dan lokasi vaksin sinovac di garut oktober gratis dan bisa untuk umum ","Positif","informasi jadwal dan lokasi vaksin sinovac di garut oktober gratis dan bisa untuk umum "
"1240",0,"informasi vaksin sinovac dan pfizer bogor di puskesmas sukajaya jumat oktober untuk masyarakat umum ","Netral","informasi vaksin sinovac dan pfizer bogor di puskesmas sukajaya jumat oktober untuk masyarakat umum "
"1241",0,"kkm lulus penggunaan vaksin keluaran sinovac terhadap remaja ","Netral","kkm lulus penggunaan vaksin keluaran sinovac terhadap remaja "
"1244",-1,"penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan kp kesihatan ","Negatif","penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan kp kesihatan "
"1245",0,"australia akan buka perbatasanpenerbangan internasional mulai bulan depan vaksin sinovac bisa masuk oz kabar… ","Netral","australia akan buka perbatasanpenerbangan internasional mulai bulan depan vaksin sinovac bisa masuk oz kabar… "
"1247",-1," penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan ","Negatif"," penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan "
"1248",0,"pengawalan vaksin covid personil satlantas polres ngada melaksanakan pengamanan pengawalan vial vaksin… ","Netral","pengawalan vaksin covid personil satlantas polres ngada melaksanakan pengamanan pengawalan vial vaksin… "
"1249",1,"penggunaan vaksin keluaran dalam kalangan berusia hingga tahun buat masa ini diutamakan kepa… ","Positif","penggunaan vaksin keluaran dalam kalangan berusia hingga tahun buat masa ini diutamakan kepa… "
"1250",1," saya st dose astrazeneca then aefi amik nd dose sinovacso ingat sudah abis cerita vaksin sbb mysejahtera pun sah… ","Positif"," saya st dose astrazeneca then aefi amik nd dose sinovacso ingat sudah abis cerita vaksin sbb mysejahtera pun sah… "
"1251",1," kmpanye lagi hrus vaksin ke unjungnya pngadaan lagi untung lgsitu tim riset apa marketingnya sinovac","Positif"," kmpanye lagi hrus vaksin ke unjungnya pngadaan lagi untung lgsitu tim riset apa marketingnya sinovac"
"1252",1,"kkm menyarankan penggunaan vaksin keluaran sinovac itu bagi remaja hingga tahun dan diutamakan kepada remaja… ","Positif","kkm menyarankan penggunaan vaksin keluaran sinovac itu bagi remaja hingga tahun dan diutamakan kepada remaja… "
"1253",0,"jenis vaksin antara sinovac atau sinopharm","Netral","jenis vaksin antara sinovac atau sinopharm"
"1254",1," vaksin kedua diberi kelulusan bersyarat selepas penggunaan cominay keluaran pfizerbiontech ","Positif"," vaksin kedua diberi kelulusan bersyarat selepas penggunaan cominay keluaran pfizerbiontech "
"1255",-1,"penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan … ","Negatif","penggunaan vaksin sinovac kepada golongan remaja berumur tahun dan ke atas dibenarkan … "
"1256",1,"ada yang mau vaksin besuk bebas non domisili sinovac","Positif","ada yang mau vaksin besuk bebas non domisili sinovac"
"1257",1,"arab saudi tidak menerima suntikan vaksin sinovac ","Positif","arab saudi tidak menerima suntikan vaksin sinovac "
